operating_hours,temperature_c,vibration_level_mm_per_s,load_percentage,maintenance_due_in_hours
4389.0,81.95,4.88,96.76,2459.01
2327.0,87.95,1.92,92.53,3528.74
2931.0,86.21,2.2,99.1,3194.6
197.0,81.86,4.24,81.4,4638.38
1930.0,99.03,1.41,62.38,3860.93
3582.0,95.17,0.87,58.14,3069.3
608.0,82.33,4.28,59.35,4541.8
3272.0,84.66,0.33,50.99,3286.46
1147.0,52.58,3.14,69.53,4292.3
4282.0,83.5,2.85,59.57,2715.61
3397.0,52.21,1.8,70.58,3176.22
2511.0,79.41,1.64,96.75,3435.48
1794.0,99.97,3.88,71.53,3856.61
659.0,77.79,0.52,93.9,4390.19
2811.0,73.66,1.26,80.28,3383.2
1369.0,65.64,3.69,62.36,4185.54
1986.0,56.03,2.79,67.79,3878.12
146.0,86.55,0.73,54.2,4825.65
3219.0,59.63,4.42,66.67,3243.65
2911.0,55.76,2.03,83.88,3343.31
1734.0,71.09,4.16,53.61,4031.23
1843.0,89.77,3.96,60.27,3908.02
488.0,87.25,3.16,69.07,4554.54
2976.0,52.74,2.52,99.1,3235.77
1959.0,72.76,4.9,89.24,3729.77
2385.0,76.12,0.81,86.67,3563.78
2919.0,82.23,3.65,55.81,3410.46
4736.0,82.51,1.04,89.05,2361.37
1802.0,68.23,1.76,89.26,3848.64
4061.0,78.03,1.61,80.06,2747.03
3369.0,74.05,4.74,99.52,2972.4
262.0,94.25,4.84,66.26,4650.79
623.0,76.51,1.0,97.06,4390.19
1016.0,72.05,0.21,95.74,4217.13
3643.0,70.22,3.63,50.57,3098.9
4976.0,78.62,2.15,72.51,2320.75
2049.0,90.2,0.54,98.86,3645.47
3723.0,76.92,3.45,55.16,3024.38
4548.0,83.08,2.77,77.39,2495.18
3108.0,86.89,4.9,98.95,3078.43
4090.0,76.01,1.21,77.77,2751.97
2056.0,71.34,2.08,59.49,3861.07
3170.0,93.83,2.76,79.11,3154.2
1682.0,70.88,3.98,60.22,4026.35
2255.0,73.1,2.79,75.99,3668.49
1154.0,99.52,3.1,53.7,4274.42
4499.0,50.01,1.21,80.27,2587.02
3191.0,59.27,4.25,75.84,3214.26
1696.0,69.2,2.2,87.01,3906.56
3991.0,96.63,0.79,81.54,2745.66
4723.0,53.5,3.35,77.48,2460.55
4682.0,50.47,1.16,84.49,2474.02
1648.0,52.63,0.58,57.2,4128.97
1445.0,54.43,4.32,79.77,4076.57
4199.0,51.88,2.35,58.61,2830.16
3923.0,73.99,3.77,96.28,2721.43
253.0,79.04,1.52,53.42,4783.1
3183.0,63.58,3.96,71.52,3234.18
2557.0,69.91,0.65,84.79,3501.24
98.0,54.58,1.84,72.9,4808.88
2200.0,66.82,4.89,54.6,3794.41
2961.0,76.13,3.99,77.67,3289.0
4973.0,86.61,2.54,82.08,2254.5
4433.0,50.17,1.76,85.19,2589.57
3777.0,73.37,4.37,68.66,2927.72
2869.0,64.85,2.77,78.18,3367.19
3234.0,92.64,3.82,72.53,3146.88
3791.0,85.78,3.8,83.6,2826.98
956.0,79.46,0.19,79.18,4315.32
4067.0,63.86,0.72,76.29,2800.15
160.0,95.52,3.33,62.48,4733.26
4493.0,52.26,0.89,50.1,2739.57
1300.0,55.47,1.35,58.7,4282.01
4911.0,69.58,4.74,55.85,2428.69
3987.0,56.22,2.84,72.45,2853.34
1527.0,97.82,3.78,80.61,3950.01
1218.0,89.9,2.83,60.65,4229.59
4496.0,62.95,2.81,96.95,2463.26
4735.0,79.43,0.56,50.33,2566.36
3104.0,99.12,1.78,88.62,3138.85
2735.0,94.21,1.48,81.26,3372.94
4555.0,80.04,2.01,68.68,2548.89
954.0,95.19,4.01,52.52,4379.89
4565.0,99.46,1.92,81.37,2442.49
3446.0,87.17,2.31,69.28,3083.13
1045.0,53.25,2.05,96.81,4216.46
1693.0,70.08,0.56,77.1,3972.27
3436.0,91.89,2.26,96.98,2940.69
562.0,61.53,1.06,61.02,4630.24
2485.0,91.53,1.01,86.29,3482.85
3354.0,56.02,0.56,80.86,3151.05
225.0,52.35,1.85,86.97,4679.48
4893.0,69.2,3.81,60.73,2423.31
959.0,51.84,1.45,83.25,4336.03
4548.0,97.86,1.63,74.9,2489.46
3067.0,91.31,3.25,87.14,3165.68
815.0,90.04,1.06,66.35,4420.07
4754.0,81.49,4.5,94.5,2292.56
4642.0,60.82,2.65,54.22,2609.8
3120.0,75.91,2.29,90.36,3163.44
16.0,79.86,2.83,93.07,4688.61
1243.0,76.25,0.91,90.86,4112.55
2205.0,63.01,3.11,75.64,3712.23
2524.0,75.76,1.88,71.92,3558.09
1069.0,74.56,4.5,99.81,4122.35
3444.0,99.82,0.93,61.46,3111.8
2565.0,94.87,2.58,77.34,3465.19
1060.0,73.17,3.03,83.53,4225.69
2327.0,81.15,0.26,85.04,3596.35
3420.0,87.39,1.88,60.2,3145.39
301.0,51.74,3.69,82.7,4645.62
4276.0,94.75,4.12,90.92,2526.72
606.0,93.01,1.63,52.5,4582.14
3170.0,72.87,4.01,95.58,3101.25
699.0,69.56,4.84,51.48,4555.59
1139.0,63.65,4.3,67.8,4271.22
190.0,73.83,0.68,50.79,4846.61
2300.0,52.22,3.72,53.86,3789.03
980.0,92.61,1.67,95.56,4180.32
2975.0,51.77,4.94,67.74,3370.81
1184.0,66.45,2.48,71.24,4244.12
3327.0,96.58,0.7,60.77,3182.51
3394.0,86.76,3.65,79.85,3043.67
127.0,64.07,1.68,79.74,4742.83
2065.0,62.63,4.99,68.61,3799.33
1816.0,50.25,4.9,66.65,3959.22
569.0,84.79,3.32,94.25,4391.54
1895.0,52.44,0.74,69.16,3944.44
2733.0,76.63,3.47,74.68,3422.21
3863.0,98.11,0.56,64.17,2895.9
4721.0,55.47,0.24,89.34,2429.42
4014.0,94.72,4.13,69.87,2762.87
2901.0,99.57,1.13,75.68,3310.67
1686.0,53.08,1.96,62.67,4067.94
3009.0,94.15,4.87,99.38,3111.6
154.0,75.8,1.75,64.57,4781.01
2537.0,95.33,1.55,88.54,3432.63
1409.0,78.57,4.6,71.37,4085.5
4057.0,83.11,0.64,60.31,2847.31
784.0,77.19,3.82,89.99,4315.47
3175.0,93.22,4.94,66.68,3193.23
4341.0,86.7,4.52,93.26,2494.65
2806.0,76.06,3.29,95.76,3283.13
537.0,93.41,1.64,92.99,4413.34
1841.0,62.26,1.35,51.75,4032.76
2455.0,57.87,4.11,89.37,3518.78
524.0,58.02,4.41,70.57,4575.01
2950.0,66.7,2.67,93.69,3246.42
4131.0,61.93,1.3,81.9,2738.17
4780.0,96.5,0.65,91.68,2302.05
4115.0,55.29,0.53,74.97,2801.79
2368.0,84.95,3.62,76.75,3576.11
3847.0,59.46,2.16,57.22,2999.9
4495.0,94.08,4.54,89.2,2422.98
2701.0,98.07,3.72,70.97,3411.28
971.0,73.27,1.04,75.0,4332.56
1166.0,93.95,3.11,89.25,4101.74
4929.0,50.26,2.23,79.94,2362.93
2774.0,91.0,2.93,60.05,3451.45
1982.0,61.43,3.72,79.51,3801.41
853.0,95.44,4.05,70.38,4340.22
4146.0,50.06,4.23,73.48,2767.16
3736.0,77.81,1.34,51.42,3055.86
3769.0,87.83,0.25,60.5,2984.8
574.0,62.93,3.72,64.05,4579.65
3261.0,59.66,0.62,85.65,3165.74
1148.0,54.2,1.64,50.57,4398.29
1715.0,66.32,0.12,70.44,4006.48
4777.0,77.99,3.44,96.2,2290.11
4933.0,55.79,0.92,55.59,2484.76
3854.0,68.83,3.31,75.82,2873.12
2491.0,50.45,4.96,89.33,3507.37
2660.0,90.93,0.46,97.13,3347.94
3124.0,56.42,0.48,87.34,3233.68
3051.0,64.17,1.77,86.03,3248.35
4.0,50.92,4.35,91.32,4746.08
4869.0,71.61,1.16,72.31,2399.16
876.0,92.01,1.87,90.29,4257.87
991.0,69.61,0.44,50.4,4458.94
4142.0,58.97,3.84,96.23,2641.52
4364.0,87.68,2.1,72.17,2610.8
4465.0,89.44,3.82,77.67,2512.07
635.0,58.69,4.53,62.74,4556.13
1693.0,88.54,1.24,87.13,3878.38
1682.0,97.36,4.06,53.83,4004.55
4752.0,58.32,0.39,93.63,2385.31
119.0,88.55,4.5,91.41,4611.33
830.0,85.43,3.29,60.8,4427.24
3675.0,73.68,4.38,90.47,2868.97
1369.0,52.9,0.1,89.32,4112.11
740.0,53.73,0.93,81.61,4455.19
116.0,92.62,2.01,68.68,4743.28
2838.0,99.51,1.96,63.57,3394.51
1150.0,83.8,1.21,61.59,4287.34
1931.0,72.3,1.97,65.93,3890.55
1012.0,82.38,0.73,95.18,4196.04
1664.0,79.72,2.12,53.88,4067.92
1081.0,69.18,4.03,91.44,4173.61
4729.0,53.28,2.45,67.44,2517.24
512.0,91.08,0.19,76.08,4529.57
2849.0,68.59,2.17,89.72,3318.04
559.0,90.94,0.23,94.22,4415.2
3672.0,62.63,4.83,67.24,3004.21
4583.0,50.05,0.72,73.09,2585.69
4992.0,57.95,3.57,70.73,2348.8
3343.0,73.43,4.87,50.66,3229.67
4070.0,97.22,4.15,64.8,2755.11
4799.0,55.11,3.53,72.96,2440.22
1470.0,92.71,4.21,70.55,4034.67
580.0,76.35,4.91,86.1,4427.71
2294.0,91.3,3.14,69.24,3642.76
3147.0,64.92,2.84,74.47,3245.92
4249.0,92.0,3.18,71.48,2652.32
1679.0,88.64,2.71,87.03,3870.96
3506.0,61.5,3.21,93.15,2976.13
2744.0,56.57,2.3,76.59,3458.85
3356.0,93.4,1.17,89.47,3026.13
4045.0,98.16,0.69,64.84,2800.09
1243.0,51.57,0.43,77.07,4235.68
3118.0,86.56,1.39,67.26,3267.66
2141.0,95.48,0.33,70.71,3731.74
3059.0,92.87,2.88,86.62,3172.87
4548.0,98.23,1.49,94.08,2394.22
2959.0,88.0,4.14,56.07,3372.71
2265.0,72.11,0.46,81.73,3659.97
2479.0,65.6,1.21,79.11,3571.68
4646.0,66.04,3.68,55.92,2578.54
1635.0,86.22,3.03,60.59,4026.74
1757.0,87.29,0.42,65.55,3965.01
4452.0,60.02,4.4,58.35,2668.25
2070.0,93.41,4.4,62.19,3773.27
2849.0,85.75,1.72,63.38,3419.92
3251.0,78.14,1.77,66.78,3216.63
3730.0,73.58,4.95,87.47,2851.04
2489.0,77.16,3.17,78.6,3526.52
1631.0,57.96,2.7,99.31,3894.98
2816.0,60.19,4.21,70.74,3425.88
1015.0,54.56,1.5,87.69,4279.94
1348.0,57.68,2.2,93.57,4070.74
4611.0,72.68,1.41,83.95,2465.26
3087.0,76.52,3.97,70.59,3260.83
2839.0,50.89,2.91,87.68,3361.22
335.0,89.84,3.33,60.18,4668.62
4592.0,64.71,1.34,66.38,2579.33
895.0,95.59,1.18,77.33,4312.85
3546.0,98.38,2.49,78.77,2961.47
851.0,59.27,3.71,51.11,4513.28
1687.0,73.1,2.67,97.26,3847.27
1931.0,50.06,0.26,84.83,3857.62
3746.0,79.92,4.36,74.79,2899.68
2427.0,80.37,0.42,96.66,3488.32
1568.0,62.38,4.78,71.95,4033.64
4000.0,77.92,0.22,99.02,2696.82
2738.0,61.28,3.5,75.61,3445.35
3498.0,58.04,0.5,55.71,3201.32
3913.0,82.58,4.56,88.24,2741.52
1066.0,66.3,2.38,83.94,4240.93
4380.0,79.51,0.77,88.65,2549.99
2444.0,71.66,1.77,97.57,3479.11
4107.0,99.22,0.91,88.82,2644.87
3373.0,57.48,0.94,80.57,3136.35
3969.0,73.23,4.75,92.87,2707.26
2546.0,84.02,2.28,83.66,3467.83
753.0,69.78,3.97,70.41,4442.26
2082.0,98.73,3.23,94.28,3607.78
2774.0,86.09,3.41,61.1,3451.19
2896.0,82.85,0.75,85.73,3300.19
4185.0,87.85,1.25,94.08,2598.93
775.0,97.63,3.96,86.57,4294.86
1625.0,95.39,4.86,84.86,3873.83
3069.0,86.21,1.39,87.63,3191.04
417.0,87.46,1.43,73.25,4586.01
114.0,57.3,2.42,93.71,4685.69
616.0,55.14,4.92,60.17,4581.65
3974.0,78.55,1.42,56.37,2909.88
3267.0,50.92,2.09,64.28,3272.34
825.0,74.12,4.47,76.58,4361.69
1516.0,60.52,0.11,75.53,4092.18
3146.0,67.3,0.29,91.03,3184.3
412.0,88.79,3.06,70.23,4584.68
728.0,97.06,4.55,74.22,4375.33
3348.0,53.62,1.27,50.67,3302.71
2808.0,76.71,2.4,70.49,3416.13
675.0,94.13,2.31,82.39,4389.23
3465.0,54.13,2.42,50.78,3231.2
2504.0,91.23,3.15,64.04,3563.82
2967.0,67.89,2.4,60.4,3404.71
2786.0,66.1,2.29,52.1,3541.37
1122.0,98.87,2.42,73.96,4197.2
4079.0,60.04,3.0,59.09,2865.03
1571.0,84.66,2.73,87.15,3932.1
2143.0,91.07,4.29,92.4,3591.52
1687.0,52.06,0.34,77.28,4012.56
4132.0,83.52,4.18,99.09,2579.7
3851.0,97.58,4.24,72.52,2824.37
3440.0,56.21,1.5,75.67,3124.28
3766.0,94.81,2.37,99.46,2756.39
2326.0,79.74,2.25,61.58,3697.15
2914.0,80.83,1.17,97.13,3234.0
4968.0,80.65,2.04,52.14,2423.55
3952.0,64.94,0.32,72.32,2879.34
595.0,96.76,1.46,53.5,4576.87
728.0,97.37,4.1,86.46,4317.94
1365.0,81.27,1.49,80.42,4087.92
4492.0,89.17,4.11,85.33,2457.91
698.0,80.61,2.7,68.72,4469.11
395.0,74.22,4.41,68.47,4617.58
4171.0,83.04,2.92,52.27,2807.92
4360.0,77.65,0.25,67.5,2674.76
2502.0,79.87,3.41,96.46,3422.83
1819.0,89.19,0.32,68.96,3914.11
717.0,74.05,2.31,91.57,4362.49
2782.0,52.04,4.65,92.12,3347.8
4946.0,58.2,0.91,68.66,2408.19
3577.0,71.93,2.01,81.6,2989.54
143.0,86.24,3.68,54.77,4795.41
4980.0,79.66,4.42,55.18,2380.52
3140.0,82.51,3.39,52.43,3318.93
4491.0,73.96,1.37,79.05,2547.67
2938.0,80.79,3.41,71.3,3328.85
3636.0,66.45,1.55,77.4,2996.55
3222.0,73.51,3.62,76.05,3175.51
1167.0,87.21,4.77,67.51,4206.77
2616.0,93.59,3.63,83.87,3399.1
1062.0,71.68,4.33,87.93,4192.73
2156.0,52.18,0.11,50.73,3912.87
2982.0,58.08,3.62,60.36,3404.86
3294.0,51.04,4.16,85.66,3130.96
4729.0,82.66,0.3,69.33,2470.53
1156.0,66.62,4.37,83.12,4179.44
732.0,77.12,1.36,67.35,4479.43
4330.0,74.66,3.36,69.54,2654.38
4846.0,54.08,4.02,57.93,2488.96
953.0,70.16,3.35,62.91,4385.15
2539.0,61.03,0.55,80.27,3551.57
3324.0,70.92,3.02,71.66,3157.65
3301.0,60.18,2.79,88.72,3107.64
1542.0,92.02,4.51,92.63,3886.69
1191.0,58.71,2.08,77.08,4230.86
2993.0,98.04,1.67,87.91,3201.12
2681.0,70.8,3.77,65.35,3503.44
1217.0,92.31,2.12,70.75,4181.91
1540.0,81.44,3.27,85.64,3956.27
3236.0,86.77,3.27,69.31,3179.24
2386.0,88.39,4.45,79.43,3538.59
3719.0,75.24,3.03,59.27,3013.34
1388.0,77.17,2.56,79.99,4076.12
1856.0,75.7,0.78,93.08,3797.42
1365.0,79.4,0.67,93.43,4034.86
499.0,51.47,0.86,86.22,4557.91
1680.0,69.78,0.94,87.29,3924.59
510.0,80.31,3.23,77.9,4512.64
4312.0,79.89,3.73,79.23,2600.75
1324.0,89.65,2.7,56.68,4198.32
1155.0,82.75,4.16,72.19,4204.41
1827.0,99.61,4.96,72.54,3825.02
3141.0,64.19,4.12,97.92,3120.31
3486.0,67.96,3.5,71.55,3078.26
1810.0,69.19,2.71,77.47,3892.19
2923.0,73.29,2.3,76.66,3335.61
2214.0,91.8,0.51,81.84,3645.07
4186.0,61.79,2.06,87.41,2675.79
713.0,88.8,4.56,61.25,4464.04
3602.0,70.27,4.06,76.44,2985.69
4134.0,80.09,1.16,91.3,2654.75
3522.0,81.63,2.39,73.16,3036.1
4268.0,68.64,4.1,63.92,2718.08
4748.0,75.63,0.43,82.74,2406.76
4849.0,70.65,2.0,91.19,2308.27
1243.0,53.46,4.27,53.16,4313.06
3709.0,71.86,2.08,88.84,2886.79
1081.0,54.87,0.48,91.08,4239.55
455.0,70.25,2.76,73.08,4589.03
4924.0,79.65,4.32,99.17,2189.66
894.0,78.97,2.99,89.34,4268.46
1384.0,83.13,1.21,88.68,4036.23
1958.0,54.76,1.98,87.39,3804.69
3072.0,82.61,2.31,57.53,3338.08
1996.0,65.61,2.94,60.86,3887.09
4285.0,69.95,3.82,73.2,2663.39
504.0,92.9,0.58,63.2,4590.36
1214.0,50.45,4.46,70.76,4243.69
1531.0,79.42,0.16,94.42,3951.94
3440.0,79.94,1.91,91.22,2994.91
823.0,69.83,0.23,81.5,4388.98
928.0,61.85,2.03,92.91,4277.51
133.0,61.73,2.68,89.19,4687.32
2105.0,94.19,2.61,71.45,3725.81
3627.0,72.1,0.91,60.05,3082.92
4780.0,66.54,3.26,75.71,2415.72
1852.0,72.44,0.32,86.81,3841.87
4910.0,83.47,3.83,71.82,2330.62
4175.0,57.29,4.74,83.34,2683.85
2933.0,72.47,1.76,54.72,3447.33
3284.0,79.39,2.63,87.4,3085.87
4298.0,97.43,1.96,90.64,2533.4
2811.0,62.63,0.13,85.34,3391.21
1250.0,67.96,1.99,98.36,4077.35
3512.0,68.97,3.98,91.33,2959.61
1256.0,80.28,3.02,95.15,4055.47
3376.0,67.84,0.6,96.68,3036.97
3486.0,76.68,4.25,90.07,2960.8
3584.0,89.09,2.7,83.71,2934.23
1396.0,85.27,4.22,50.29,4187.79
3637.0,72.32,2.94,73.29,2990.98
3330.0,93.21,2.84,78.56,3077.36
2703.0,77.91,0.62,65.2,3510.52
470.0,77.0,0.92,65.91,4622.28
1353.0,51.71,4.86,98.06,4031.16
2783.0,99.33,1.22,94.59,3274.71
2831.0,56.15,4.89,92.46,3311.01
357.0,61.56,2.71,70.3,4669.82
3019.0,52.58,0.77,50.68,3474.25
667.0,82.0,0.59,54.01,4576.58
4468.0,61.24,1.12,65.61,2654.25
1145.0,59.0,4.64,50.79,4359.21
4185.0,54.43,2.13,50.86,2873.06
3719.0,55.17,2.04,95.83,2880.64
2745.0,79.23,1.63,85.31,3376.15
539.0,84.41,0.82,65.45,4576.23
2779.0,69.87,2.49,56.63,3512.7
4964.0,73.99,0.74,75.58,2334.73
4136.0,84.3,4.19,50.27,2820.13
4835.0,50.87,1.91,96.92,2327.01
3775.0,66.16,1.94,70.74,2957.12
2508.0,98.65,2.42,70.12,3523.88
2779.0,79.01,2.28,69.53,3432.08
924.0,62.71,4.97,53.47,4445.5
2956.0,76.09,2.77,81.92,3282.52
1581.0,67.13,0.53,86.65,3986.66
3324.0,76.61,3.07,83.81,3085.01
4485.0,56.29,0.84,56.92,2701.89
255.0,56.64,0.25,78.94,4712.0
4804.0,57.18,4.86,78.47,2392.71
1838.0,96.99,3.89,93.42,3731.01
1944.0,86.64,4.9,68.96,3810.9
9.0,58.12,2.44,68.57,4861.97
2871.0,59.42,2.71,80.93,3363.95
797.0,86.54,0.92,81.65,4360.9
4972.0,57.81,1.31,73.46,2367.96
1015.0,61.73,4.21,72.15,4316.19
1824.0,98.17,1.85,74.71,3849.68
4469.0,62.77,4.15,93.05,2483.19
3136.0,83.08,3.57,73.06,3214.8
2193.0,98.93,0.97,97.0,3560.97
223.0,68.71,2.59,75.2,4699.2
4948.0,50.88,3.42,97.46,2252.76
4158.0,62.21,1.25,91.64,2675.86
3925.0,91.54,4.17,68.12,2822.1
4784.0,93.23,2.77,93.18,2277.93
4000.0,88.43,0.91,55.5,2886.54
1633.0,55.66,2.96,96.25,3911.36
2152.0,89.78,5.0,81.58,3636.55
510.0,95.93,0.84,52.72,4631.16
384.0,80.03,4.1,82.21,4545.85
404.0,97.04,1.12,98.71,4449.19
4613.0,91.34,3.93,53.49,2554.03
